method,path_norm,sources,occurrences
,/api/src/zotify_api/routes,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",2
,/api/src/zotify_api/routes/auth,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/routes/cache,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/routes/config,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/routes/downloads,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/routes/logging,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/routes/metadata,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/routes/network,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/routes/notifications,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/routes/playlist,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/routes/search,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/routes/spotify,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/routes/stubs,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/routes/sync,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/routes/system,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/routes/tracks,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/routes/user,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/routes/webhooks,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/schemas,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",2
,/api/src/zotify_api/schemas/auth,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/schemas/cache,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/schemas/downloads,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/schemas/generic,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/schemas/logging,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/schemas/metadata,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/schemas/network,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/schemas/notifications,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/schemas/playlists,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/schemas/spotify,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/schemas/system,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/schemas/tracks,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/schemas/user,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",2
,/api/src/zotify_api/services/__init__,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services/auth,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services/cache_service,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services/config_service,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services/db,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services/deps,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services/downloads_service,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services/logging_service,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services/metadata_service,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services/network_service,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services/notifications_service,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services/playlists_service,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services/search,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services/spoti_client,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",2
,/api/src/zotify_api/services/spotify,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services/sync_service,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services/tracks_service,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services/user_service,['project/audit/AUDIT-phase-1.md'],1
,/api/src/zotify_api/services/webhooks,['project/audit/AUDIT-phase-1.md'],1
,/api/storage/audit,['api/docs/manuals/OPERATOR_MANUAL.md'],1
,/api/storage/zotify,"['api/docs/manuals/OPERATOR_MANUAL.md', 'gonk-testUI/README.md', 'gonk-testUI/app.py', 'gonk-testUI/docs/USER_MANUAL.md']",4
,/api/sync/playlist/sync,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md']",3
,/api/sync/trigger,"['project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md']",2
,/api/system/env,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250809-api-endpoints-completion-report.md']",5
,/api/system/logs,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",4
,/api/system/reload,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",4
,/api/system/reset,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",4
,/api/system/status,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",4
,/api/system/storage,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",4
,/api/system/uptime,"['api/docs/reference/features/authentication.md', 'api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250809-api-endpoints-completion-report.md']",6
,/api/test_minimal_app,['project/audit/AUDIT-phase-1.md'],1
,/api/tests,"['project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",2
,/api/tests/__init__,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/conftest,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/test_cache,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/test_config,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/test_downloads,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/test_logging,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/test_metadata,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/test_network,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/test_notifications,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/test_playlists,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/test_spotify,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/test_stubs,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/test_sync,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/test_system,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/test_tracks,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/test_user,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/unit,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/unit/test_auth,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/unit/test_cache_service,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/unit/test_config,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/unit/test_downloads_service,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/unit/test_logging_service,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/unit/test_metadata_service,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/unit/test_network_service,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/unit/test_new_endpoints,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/unit/test_notifications_service,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/unit/test_playlists_service,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/unit/test_search,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/unit/test_spoti_client,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/unit/test_sync,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/unit/test_tracks_service,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/unit/test_user_service,['project/audit/AUDIT-phase-1.md'],1
,/api/tests/unit/test_webhooks,['project/audit/AUDIT-phase-1.md'],1
,/api/token,['project/reports/20250808-oauth-unification-completion-report.md'],1
,/api/tracks,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",4
,/api/tracks/abc123,['api/docs/reference/full_api_reference.md'],1
,/api/tracks/abc123/cover,['api/docs/reference/full_api_reference.md'],1
,/api/tracks/metadata,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md', 'project/reports/20250809-api-endpoints-completion-report.md', 'project/reports/20250809-phase5-endpoint-refactor-report.md', 'project/reports/20250809-phase5-search-cleanup-report.md']",7
,/api/tracks/{id},['project/audit/AUDIT-phase-1.md'],1
,/api/tracks/{id}/cover,['project/audit/AUDIT-phase-1.md'],1
,/api/tracks/{track_id},['project/ENDPOINTS.md'],1
,/api/tracks/{track_id}/cover,['project/ENDPOINTS.md'],1
,/api/user,['project/audit/FIRST_AUDIT.md'],1
,/api/user/history,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md']",3
,/api/user/liked,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md']",3
,/api/user/preferences,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md']",3
,/api/user/profile,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md']",3
,/api/user/sync_liked,"['api/docs/reference/full_api_reference.md', 'project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md']",3
,/api/webhooks,"['project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md', 'project/audit/FIRST_AUDIT.md']",3
,/api/webhooks/fire,"['project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md']",2
,/api/webhooks/register,['project/ENDPOINTS.md'],1
,/api/webhooks/{hook_id},"['project/ENDPOINTS.md', 'project/audit/AUDIT-phase-1.md']",2
,/docs,"['api/docs/manuals/DEVELOPER_GUIDE.md', 'project/ACTIVITY.md', 'project/ENDPOINTS.md', 'project/EXECUTION_PLAN.md', 'project/LOW_LEVEL_DESIGN.md', 'project/LOW_LEVEL_DESIGN_previous.md', 'project/ROADMAP.md', 'project/audit/AUDIT-phase-1.md', 'project/reports/20250809-phase5-final-cleanup-report.md', 'project/reports/20250809-phase5-playlist-implementation-report.md']",11
,/docs/ARCHITECTURE,['project/PROJECT_REGISTRY.md'],1
,/docs/CHANGELOG,"['project/PROJECT_REGISTRY.md', 'project/reports/20250809-phase5-endpoint-refactor-report.md', 'project/reports/20250809-phase5-final-cleanup-report.md', 'project/reports/20250809-phase5-playlist-implementation-report.md', 'project/reports/20250809-phase5-search-cleanup-report.md']",5
